Designator,Mid X,Mid Y,Rotation,Layer
U2,163.4355,-130.85,0.0,top
U3,166.8355,-135.75,270.0,top
U4,113.606,-139.25,0.0,top
U5,190.166066,-60.982934,90.0,top
U6,173.126066,-69.769421,270.0,top
U7,190.026066,-70.629934,270.0,top
U8,136.356,-115.9,270.0,top
U9,133.606,-139.25,0.0,top
Y1,117.106,-87.15,270.0,top
Y2,110.106,-79.15,180.0,top
Y3,170.735066,-65.554934,180.0,top
